Date,Open,High,Low,Close,Adj Close,Volume
2019-10-31,10.290000,10.330000,9.540000,9.630000,9.630000,3687500
2019-11-01,9.680000,9.900000,9.270000,9.730000,9.730000,2810300
2019-11-04,9.800000,10.040000,9.610000,10.000000,10.000000,1785300
2019-11-05,9.900000,10.420000,9.900000,10.130000,10.130000,1915700
2019-11-06,10.160000,10.230000,9.610000,9.610000,9.610000,1666100
2019-11-07,9.780000,10.140000,9.620000,9.670000,9.670000,1688200
2019-11-08,9.570000,9.650000,8.840000,9.340000,9.340000,2731000
2019-11-11,8.460000,9.440000,8.320000,9.230000,9.230000,3323700
2019-11-12,9.050000,9.860000,9.050000,9.500000,9.500000,2170300
2019-11-13,9.420000,9.440000,8.630000,8.660000,8.660000,2899800
2019-11-14,8.650000,9.020000,8.530000,8.550000,8.550000,1701100
2019-11-15,8.580000,8.870000,8.560000,8.630000,8.630000,1548500
2019-11-18,8.610000,8.660000,7.820000,8.050000,8.050000,2844800
2019-11-19,8.280000,8.390000,7.840000,8.330000,8.330000,1654200
2019-11-20,8.380000,8.760000,8.240000,8.300000,8.300000,1934500
2019-11-21,8.260000,8.690000,8.190000,8.470000,8.470000,1245900
2019-11-22,8.380000,8.710000,8.380000,8.550000,8.550000,817800
2019-11-25,8.590000,8.950000,8.530000,8.830000,8.830000,1171000
2019-11-26,8.840000,8.840000,8.300000,8.360000,8.360000,1388300
2019-11-27,8.430000,8.630000,8.390000,8.580000,8.580000,844000
2019-11-29,8.480000,8.620000,8.400000,8.450000,8.450000,460600
2019-12-02,8.540000,8.740000,8.390000,8.390000,8.390000,1123500
2019-12-03,8.290000,8.340000,8.010000,8.270000,8.270000,1495400
2019-12-04,8.210000,8.410000,8.010000,8.050000,8.050000,1338000
2019-12-05,8.070000,8.130000,7.410000,7.550000,7.550000,2730600
2019-12-06,7.580000,7.990000,7.570000,7.850000,7.850000,1479100
2019-12-09,7.790000,7.790000,7.500000,7.580000,7.580000,1447600
2019-12-10,7.540000,7.660000,7.280000,7.380000,7.380000,1507700
2019-12-11,7.270000,7.410000,7.160000,7.360000,7.360000,1142700
2019-12-12,7.390000,7.680000,7.300000,7.640000,7.640000,1140800
2019-12-13,7.640000,7.670000,7.440000,7.560000,7.560000,909000
2019-12-16,7.580000,7.980000,7.490000,7.490000,7.490000,1851800
2019-12-17,7.390000,8.490000,7.290000,8.140000,8.140000,5165100
2019-12-18,8.180000,8.500000,8.080000,8.440000,8.440000,2429500
2019-12-19,8.490000,8.740000,8.330000,8.580000,8.580000,1759400
2019-12-20,8.580000,8.870000,8.560000,8.770000,8.770000,2832100
2019-12-23,8.770000,8.830000,8.280000,8.480000,8.480000,1804300
2019-12-24,8.500000,8.680000,8.350000,8.510000,8.510000,771200
2019-12-26,8.530000,8.650000,8.150000,8.280000,8.280000,1000200
2019-12-27,8.280000,8.350000,8.080000,8.220000,8.220000,681500
2019-12-30,8.140000,8.530000,8.110000,8.310000,8.310000,1288100
2019-12-31,8.300000,8.790000,8.180000,8.580000,8.580000,962300
2020-01-02,8.700000,8.700000,8.350000,8.500000,8.500000,1115300
2020-01-03,8.430000,8.490000,8.160000,8.230000,8.230000,827600
2020-01-06,8.200000,8.480000,8.130000,8.410000,8.410000,834700
2020-01-07,8.380000,8.470000,8.240000,8.330000,8.330000,1501400
2020-01-08,8.330000,8.480000,8.120000,8.200000,8.200000,1088800
2020-01-09,8.250000,8.290000,7.800000,8.050000,8.050000,1797100
2020-01-10,8.050000,8.100000,7.860000,8.040000,8.040000,954200
2020-01-13,8.050000,8.140000,7.950000,8.110000,8.110000,652600
2020-01-14,8.070000,8.190000,7.980000,8.070000,8.070000,717300
2020-01-15,8.030000,9.380000,8.030000,9.140000,9.140000,4859200
2020-01-16,9.340000,9.720000,9.180000,9.330000,9.330000,2702900
2020-01-17,9.380000,9.580000,9.200000,9.420000,9.420000,1621400
2020-01-21,9.510000,9.540000,8.840000,9.180000,9.180000,1558500
2020-01-22,9.180000,9.190000,8.940000,9.060000,9.060000,721700
2020-01-23,9.000000,9.050000,8.530000,8.550000,8.550000,1697300
2020-01-24,8.520000,8.590000,7.690000,7.770000,7.770000,2509900
2020-01-27,7.610000,7.780000,7.410000,7.660000,7.660000,1017200
2020-01-28,7.600000,7.700000,6.820000,6.840000,6.840000,3562200
2020-01-29,6.910000,7.150000,6.520000,6.530000,6.530000,2562000
2020-01-30,6.400000,6.620000,6.230000,6.550000,6.550000,1461300
2020-01-31,6.520000,6.530000,6.200000,6.260000,6.260000,1515200
2020-02-03,6.310000,6.310000,5.930000,6.080000,6.080000,2017700
2020-02-04,6.100000,6.370000,6.100000,6.120000,6.120000,1547400
2020-02-05,6.160000,6.550000,6.160000,6.320000,6.320000,2035200
2020-02-06,6.440000,6.590000,6.250000,6.420000,6.420000,1047000
2020-02-07,6.400000,6.580000,6.270000,6.510000,6.510000,1058800
2020-02-10,6.470000,6.470000,5.490000,5.620000,5.620000,3981600
2020-02-11,5.670000,5.890000,5.470000,5.780000,5.780000,2052700
2020-02-12,5.820000,6.100000,5.720000,6.070000,6.070000,1774200
2020-02-13,6.030000,6.030000,5.700000,5.810000,5.810000,1499000
2020-02-14,5.700000,5.900000,5.500000,5.500000,5.500000,1922200
2020-02-18,5.450000,5.990000,5.420000,5.900000,5.900000,3253100
2020-02-19,5.940000,6.460000,5.900000,6.290000,6.290000,1799000
2020-02-20,6.260000,6.470000,6.130000,6.250000,6.250000,1937800
2020-02-21,6.230000,6.250000,5.920000,5.950000,5.950000,1487000
2020-02-24,5.800000,5.800000,5.460000,5.720000,5.720000,2473100
2020-02-25,4.370000,4.380000,2.790000,3.110000,3.110000,20409000
2020-02-26,3.250000,3.550000,3.130000,3.220000,3.220000,5611500
2020-02-27,3.070000,3.360000,2.890000,3.040000,3.040000,3960200
2020-02-28,2.910000,3.190000,2.820000,2.850000,2.850000,4596600
2020-03-02,2.860000,2.880000,2.430000,2.650000,2.650000,4263100
2020-03-03,2.720000,2.720000,2.410000,2.420000,2.420000,4031200
2020-03-04,2.480000,2.670000,2.360000,2.570000,2.570000,3844000
2020-03-05,2.500000,2.750000,2.450000,2.620000,2.620000,2710300
2020-03-06,2.550000,2.810000,2.500000,2.600000,2.600000,2725400
2020-03-09,2.400000,2.550000,2.040000,2.050000,2.050000,2047000
2020-03-10,2.220000,2.280000,2.000000,2.200000,2.200000,2371000
2020-03-11,2.100000,2.210000,1.880000,1.890000,1.890000,2118300
2020-03-12,1.660000,2.620000,1.610000,2.270000,2.270000,5124900
2020-03-13,2.500000,2.600000,1.910000,2.050000,2.050000,3032700
2020-03-16,1.900000,1.900000,1.200000,1.250000,1.250000,6915800
2020-03-17,1.310000,1.440000,1.150000,1.370000,1.370000,2435200
2020-03-18,1.320000,1.520000,1.300000,1.520000,1.520000,1599100
2020-03-19,1.640000,1.890000,1.380000,1.850000,1.850000,3310700
2020-03-20,1.940000,1.950000,1.550000,1.620000,1.620000,3103700
2020-03-23,1.630000,1.630000,1.400000,1.530000,1.530000,986400
2020-03-24,1.680000,1.760000,1.580000,1.640000,1.640000,1315500
2020-03-25,1.720000,1.920000,1.600000,1.830000,1.830000,1812600
2020-03-26,1.810000,2.070000,1.810000,1.910000,1.910000,2698400
2020-03-27,1.910000,1.910000,1.700000,1.760000,1.760000,1102100
2020-03-30,1.790000,1.840000,1.570000,1.600000,1.600000,1415600
2020-03-31,1.620000,1.710000,1.600000,1.620000,1.620000,878900
2020-04-01,1.600000,1.610000,1.410000,1.420000,1.420000,1570000
2020-04-02,1.450000,1.580000,1.400000,1.440000,1.440000,879100
2020-04-03,1.460000,1.520000,1.260000,1.400000,1.400000,1691700
2020-04-06,1.520000,1.620000,1.390000,1.410000,1.410000,1445300
2020-04-07,1.500000,1.540000,1.320000,1.370000,1.370000,2841300
2020-04-08,1.450000,1.540000,1.380000,1.490000,1.490000,1777800
2020-04-09,1.600000,2.380000,1.560000,2.300000,2.300000,8092300
2020-04-13,2.530000,2.780000,2.070000,2.390000,2.390000,6306300
2020-04-14,2.470000,2.920000,2.450000,2.520000,2.520000,5260100
2020-04-15,2.450000,2.450000,2.110000,2.370000,2.370000,2992700
2020-04-16,2.370000,2.400000,2.000000,2.020000,2.020000,3446800
2020-04-17,2.210000,2.210000,1.910000,2.080000,2.080000,2970800
2020-04-20,2.040000,2.130000,1.880000,1.960000,1.960000,2963800
2020-04-21,1.920000,2.100000,1.870000,2.000000,2.000000,3042000
2020-04-22,2.060000,2.080000,1.930000,1.950000,1.950000,1944600
2020-04-23,1.920000,2.150000,1.920000,2.110000,2.110000,2239300
